Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),AvgGFlops,MedianGFlops,Passed,Diff,RelDiff,Iterations

cage4.mtx,9,9,49,cudaCSR,31.510943,0.021504,0.000000,0.000005,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,30.878733,0.009216,0.000000,0.000011,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,23.061453,0.012288,0.000000,0.000008,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,32.378408,0.005888,0.000000,0.000017,0,1.653362,1.000000,5
cage4.mtx,9,9,49,cudaHLL,30.688405,0.034528,0.000000,0.000003,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,30.686797,0.032768,0.000000,0.000003,0,1.653362,1.000000,5
cage4.mtx,9,9,49,cudaHLL,31.036616,0.008192,0.000000,0.000012,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,31.731078,0.028672,0.000000,0.000003,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,31.603028,0.033440,0.000000,0.000003,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,30.515783,0.017408,0.000000,0.000006,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,31.454956,0.005792,0.000000,0.000017,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,31.364500,0.036864,0.000000,0.000003,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,30.514011,0.009216,0.000000,0.000011,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,22.057542,0.016384,0.000000,0.000006,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,32.406488,0.009024,0.000000,0.000011,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,31.000576,0.009216,0.000000,0.000011,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,31.528281,0.032448,0.000000,0.000003,1,0.000000,0.000000,5
cage4.mtx,9,9,49,cudaHLL,32.551531,0.032032,0.000000,0.000003,1,0.000000,0.000000,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaHLL,33.078822,3.135488,0.007691,0.081140,1,0.000549,0.000000,5
