Matrix,Mode,Speedup_Avg,Speedup_Median
adder_dcop_32.mtx,cudaCSR,1.020951,1.022677
adder_dcop_32.mtx,cudaHLL,.297865,.297504
af_1_k101.mtx,cudaCSR,68.133508,67.804334
af_1_k101.mtx,cudaHLL,133.965335,133.231639
af23560.mtx,cudaCSR,56.001449,55.632716
af23560.mtx,cudaHLL,83.733353,84.176525
amazon0302.mtx,cudaCSR,124.223944,123.988397
amazon0302.mtx,cudaHLL,133.560653,133.602122
bcsstk17.mtx,cudaCSR,42.272868,42.124866
bcsstk17.mtx,cudaHLL,37.015934,36.993769
cage4.mtx,cudaCSR,.061576,.064968
cage4.mtx,cudaHLL,.059297,.061035
cant.mtx,cudaCSR,76.253187,75.963061
cant.mtx,cudaHLL,112.398399,113.055703
cavity10.mtx,cudaCSR,12.256287,12.109814
cavity10.mtx,cudaHLL,15.761264,15.467852
cop20k_A.mtx,cudaCSR,47.656810,47.685120
cop20k_A.mtx,cudaHLL,110.469279,110.487763
Cube_Coup_dt0.mtx,cudaCSR,115.148690,115.204055
Cube_Coup_dt0.mtx,cudaHLL,130.985981,131.065373
dc1.mtx,cudaCSR,.544508,.544490
dc1.mtx,cudaHLL,.097009,.096376
FEM_3D_thermal1.mtx,cudaCSR,55.657465,54.215842
FEM_3D_thermal1.mtx,cudaHLL,65.017006,65.088555
lung2.mtx,cudaCSR,78.995754,80.276489
lung2.mtx,cudaHLL,58.363889,58.196902
mac_econ_fwd500.mtx,cudaCSR,73.920368,73.900889
mac_econ_fwd500.mtx,cudaHLL,35.207231,35.123900
mcfe.mtx,cudaCSR,4.698459,4.690359
mcfe.mtx,cudaHLL,4.747688,5.031086
mhd4800a.mtx,cudaCSR,20.363819,20.152698
mhd4800a.mtx,cudaHLL,29.111513,28.261952
mhda416.mtx,cudaCSR,2.155612,2.245508
mhda416.mtx,cudaHLL,2.945482,2.929687
mhda416.mtx,cudaCSR,2.514367,2.552737
mhda416.mtx,cudaHLL,3.186274,3.216911
ML_Laplace.mtx,cudaCSR,126.460037,124.889640
ML_Laplace.mtx,cudaHLL,138.502280,138.045614
nlpkkt80.mtx,cudaCSR,74.820100,74.857108
nlpkkt80.mtx,cudaHLL,128.586042,128.645047
olafu.mtx,cudaCSR,46.963381,47.041476
olafu.mtx,cudaHLL,80.248304,80.206531
olm1000.mtx,cudaCSR,2.514982,2.541089
olm1000.mtx,cudaHLL,2.443843,2.468487
PR02R.mtx,cudaCSR,79.180116,79.126591
PR02R.mtx,cudaHLL,91.058005,91.177452
raefsky2.mtx,cudaCSR,19.038346,19.280946
raefsky2.mtx,cudaHLL,37.303357,37.277099
rdist2.mtx,cudaCSR,10.674815,10.703492
rdist2.mtx,cudaHLL,11.663007,11.675824
roadNet-PA.mtx,cudaCSR,131.795771,132.235781
roadNet-PA.mtx,cudaHLL,112.208191,112.209332
thermal1.mtx,cudaCSR,69.252669,69.143618
thermal1.mtx,cudaHLL,82.135612,82.145684
thermal2.mtx,cudaCSR,96.760537,96.534440
thermal2.mtx,cudaHLL,127.033509,127.015283
thermomech_TK.mtx,cudaCSR,79.311708,79.853579
thermomech_TK.mtx,cudaHLL,97.770376,99.526867
webbase-1M.mtx,cudaCSR,47.659790,47.616450
webbase-1M.mtx,cudaHLL,9.751491,9.748802
west2021.mtx,cudaCSR,4.232975,4.116766
west2021.mtx,cudaHLL,4.123107,3.997093
