Matrix,Mode,Threads,Speedup_Avg,Speedup_Median
adder_dcop_32,ompCSR,17,.860426,.862456
adder_dcop_32,ompHLL,17,.010873,.010882
af_1_k101,ompCSR,17,3.215991,3.216182
af_1_k101,ompHLL,17,2.965204,2.976631
af23560,ompCSR,17,2.599188,2.639732
af23560,ompHLL,17,2.228849,2.464401
amazon0302,ompCSR,17,2.013123,2.017066
amazon0302,ompHLL,17,7.803308,9.464957
bcsstk17,ompCSR,17,3.950967,4.044793
bcsstk17,ompHLL,17,.255659,.258830
cage4,ompCSR,17,.007320,.007333
cage4,ompHLL,17,.010648,.009998
cant,ompCSR,17,2.412899,2.460357
cant,ompHLL,17,1.492062,1.681242
cavity10,ompCSR,17,2.346700,2.580915
cavity10,ompHLL,17,.385003,.383042
cop20k_A,ompCSR,17,3.643057,3.448466
cop20k_A,ompHLL,17,3.121916,2.988780
Cube_Coup_dt0,ompCSR,17,2.968849,3.038297
Cube_Coup_dt0,ompHLL,17,2.831792,2.819539
dc1,ompCSR,17,1.256396,1.248426
dc1,ompHLL,17,.005331,.005368
FEM_3D_thermal1,ompCSR,17,2.869520,2.968802
FEM_3D_thermal1,ompHLL,17,1.639601,1.740300
lung2,ompCSR,17,.856042,.860948
lung2,ompHLL,17,4.101400,5.791425
mac_econ_fwd500,ompCSR,17,1.312855,1.311618
mac_econ_fwd500,ompHLL,17,.521580,.527803
mcfe,ompCSR,17,1.022981,1.180363
mcfe,ompHLL,17,.347210,.346869
mhd4800a,ompCSR,17,2.176591,2.201025
mhd4800a,ompHLL,17,.502606,.498556
mhda416,ompCSR,17,.591235,.589182
mhda416,ompHLL,17,.418098,.412301
ML_Laplace,ompCSR,17,3.263905,3.226397
ML_Laplace,ompHLL,17,2.985850,2.961240
nlpkkt80,ompCSR,17,2.798866,2.776861
nlpkkt80,ompHLL,17,2.668606,2.658541
olafu,ompCSR,17,3.983759,3.938204
olafu,ompHLL,17,.502827,.507860
olm1000,ompCSR,17,.174193,.170987
olm1000,ompHLL,17,.289420,.288080
PR02R,ompCSR,17,3.266630,3.270611
PR02R,ompHLL,17,1.836842,1.849006
raefsky2,ompCSR,17,4.667250,4.366806
raefsky2,ompHLL,17,.677100,.675886
rdist2,ompCSR,17,1.348418,1.379276
rdist2,ompHLL,17,.227821,.228862
roadNet-PA,ompCSR,17,1.467130,1.472683
roadNet-PA,ompHLL,17,2.746915,2.780019
thermal1,ompCSR,17,1.805330,1.811387
thermal1,ompHLL,17,6.294780,7.260683
thermal2,ompCSR,17,3.367886,3.353403
thermal2,ompHLL,17,2.315584,2.310169
thermomech_TK,ompCSR,17,1.976023,1.972569
thermomech_TK,ompHLL,17,6.556315,8.326937
webbase-1M,ompCSR,17,1.068087,1.071123
webbase-1M,ompHLL,17,.117386,.116834
west2021,ompCSR,17,.344142,.346103
west2021,ompHLL,17,.224241,.222031
