Matrix,Mode,MedianTime_CPU,MedianTime_GPU,Speedup
adder_dcop_32,cudaCSR,0.024574,0.073152,0.3359306649168854
adder_dcop_32,cudaHLL,1.947602,0.148592,13.107044793797781
af_1_k101,cudaCSR,6.804264,1.086064,6.26506725202198
af_1_k101,cudaHLL,7.351851,0.582688,12.617131294964029
af23560,cudaCSR,0.175711,0.03272,5.370140586797066
af23560,cudaHLL,0.188212,0.026368,7.137894417475728
amazon0302,cudaCSR,1.477667,0.076512,19.31287902551234
amazon0302,cudaHLL,0.314904,0.069616,4.523442886692715
bcsstk17,cudaCSR,0.108564,0.034224,3.1721598877980366
bcsstk17,cudaHLL,1.696551,0.046816,36.23870044429255
cage4,cudaCSR,0.011181,0.00856,1.3061915887850468
cage4,cudaHLL,0.008201,0.008576,0.9562733208955223
cant,cudaCSR,1.942222,0.222384,8.733640909417943
cant,cudaHLL,2.842279,0.158096,17.978184141281247
cavity10,cudaCSR,0.031607,0.019168,1.6489461602671118
cavity10,cudaHLL,0.212966,0.016352,13.023850293542075
cop20k_A,cudaCSR,1.260608,0.260752,4.834509418911456
cop20k_A,cudaHLL,1.454494,0.126,11.543603174603174
Cube_Coup_dt0,cudaCSR,50.363779,4.596608,10.956727003912452
Cube_Coup_dt0,cudaHLL,54.271323,4.245568,12.783053527820073
dc1,cudaCSR,0.69896,7.128832,0.0980469170826301
dc1,cudaHLL,162.52769,21.313536,7.625561990276978
FEM_3D_thermal1,cudaCSR,0.138667,0.02696,5.143434718100891
FEM_3D_thermal1,cudaHLL,0.236554,0.026672,8.869001199760048
lung2,cudaCSR,0.594521,0.032496,18.295205563761694
lung2,cudaHLL,0.088381,0.041744,2.1172144499808354
mac_econ_fwd500,cudaCSR,1.196389,0.087088,13.737702094433216
mac_econ_fwd500,cudaHLL,2.97309,0.181056,16.420831124072112
mcfe,cudaCSR,0.025371,0.021568,1.1763260385756678
mcfe,cudaHLL,0.086335,0.017984,4.8006561387900355
mhd4800a,cudaCSR,0.046213,0.016352,2.8261374755381605
mhd4800a,cudaHLL,0.204021,0.013168,15.493696840826248
mhda416,cudaCSR,0.016326,0.014336,1.1388113839285714
mhda416,cudaCSR,0.016326,0.014368,1.1362750556792873
mhda416,cudaHLL,0.02333,0.012544,1.8598533163265307
mhda416,cudaHLL,0.02333,0.012736,1.8318153266331658
ML_Laplace,cudaCSR,10.164362,0.94856,10.715570970734587
ML_Laplace,cudaHLL,11.074503,0.890784,12.432310189675611
nlpkkt80,cudaCSR,11.95571,1.673648,7.143503293404587
nlpkkt80,cudaHLL,12.487806,0.990768,12.604167675984693
olafu,cudaCSR,0.282122,0.074784,3.772491442019683
olafu,cudaHLL,2.187714,0.05592,39.12221030042919
olm1000,cudaCSR,0.02492,0.00896,2.7812500000000004
olm1000,cudaHLL,0.014791,0.009824,1.5055985342019544
PR02R,cudaCSR,2.992838,0.429904,6.961642599277978
PR02R,cudaHLL,5.293876,0.394272,13.42696412628845
raefsky2,cudaCSR,0.081029,0.037968,2.1341392751790984
raefsky2,cudaHLL,0.523517,0.02632,19.890463525835866
rdist2,cudaCSR,0.039549,0.016464,2.4021501457725947
rdist2,cudaHLL,0.238348,0.016352,14.576076320939336
roadNet-PA,cudaCSR,6.399857,0.18928,33.8115860101437
roadNet-PA,cudaHLL,3.390251,0.22472,15.086556603773586
thermal1,cudaCSR,0.473098,0.047568,9.945719811638076
thermal1,cudaHLL,0.118028,0.037984,3.1073083403538333
thermal2,cudaCSR,5.196866,0.567392,9.159216203259827
thermal2,cudaHLL,7.543685,0.435856,17.307746136338608
thermomech_TK,cudaCSR,0.565397,0.056848,9.945767661131438
thermomech_TK,cudaHLL,0.133937,0.045904,2.9177631578947367
webbase-1M,cudaCSR,5.847252,0.432864,13.508288977600355
webbase-1M,cudaHLL,53.606828,1.78152,30.090500246980106
west2021,cudaCSR,0.022369,0.009936,2.251308373590982
west2021,cudaHLL,0.034869,0.010144,3.437401419558359
